position,item_id,card_type,package_type,redeem_point,category
1,apeAKQWoPkwp,blue|green|white,,0,primary
2,LDvlr4LBE4p0,blue,,0,primary
3,OmBZwoNQzQDm,blue,,0,primary
4,dEA1ONzzMy0E,blue|green|white,,0,primary
5,rMeW90551aRv,black|red|blue,,0,primary
6,XvEnm1XYo7w6,no_card,all,3,secondary
7,N6jKk78glRK1,no_card,postpaid,1,secondary
8,kJDoNBDvxmlK,no_card,all,1,secondary
9,veMDVQN3DYkq,no_card,,0,secondary
10,YK8NlZw9mR6E,no_card,all,1,secondary
11,nOkNYrEWdkz0,no_card,all,1,secondary
12,JPr7wRJxY5Me,no_card,all,1,secondary
13,087WmwDJAAM8,no_card,postpaid,1,secondary
14,0DgnyrJo8YQd,no_card,,0,secondary
15,0EX1Z4pQ8zaP,no_card,,0,secondary
16,0pa5PaqRR5Pp,no_card,,0,secondary
17,0rnXeYkepOpd,no_card,postpaid,0,secondary
18,0yJnqOqb9Vly,no_card,all,5,secondary
19,1Gv2v15DqvqG,no_card,,0,secondary
20,1Ox5vKdpDKKn,no_card,,0,secondary
21,1paxm2O0v0LY,no_card,postpaid,0,secondary
22,41wERBXWdrZ8,no_card,postpaid,0,secondary
23,4WM2dxmEKlQB,no_card,postpaid,0,secondary
24,4eA645AWDJ6L,no_card,,0,secondary
25,4x4M27ALjvl8,no_card,,0,secondary
26,56kXGwPQYKR9,no_card,postpaid,0,secondary
27,580OMNNVOobG,no_card,postpaid,0,secondary
28,5D8Kw58ORBpx,no_card,postpaid,0,secondary
29,5akYKVZnBjv6,no_card,,0,secondary
30,5xW2XwqzAzZ4,no_card,postpaid,0,secondary
31,67BNWXMeAlw7,no_card,postpaid,0,secondary
32,67rZnvroglP7,no_card,postpaid,0,secondary
33,6XDAbkv5R91n,no_card,,0,secondary
34,6eXBJ2DxWvJ5,no_card,,0,secondary
35,7GpazPe2LPJ5,no_card,,0,secondary
36,7nky1j9PXyLD,no_card,postpaid,0,secondary
37,8DP6EWdGA5Ek,no_card,postpaid,0,secondary
38,8P70zg7Mwnek,no_card,,0,secondary
39,8WlPdDDZNRKW,no_card,,0,secondary
40,8jXLQELkPb5j,no_card,,0,secondary
41,W4D86qvKdNj4,no_card,postpaid,0,secondary
42,Wn4vra3z6Rzg,no_card,,0,secondary
43,WzYoLmoopoj6,no_card,,0,secondary
44,YEYQwMk1oLlE,no_card,postpaid,0,secondary
45,YzZBOGXRVLNz,no_card,,0,secondary
46,Z845REoQXpMx,no_card,,0,secondary
47,ZGox35leRmVD,no_card,postpaid,0,secondary
48,Zyr80dQ8RXlD,no_card,postpaid,1,secondary
49,aKl2Yj7Bq20v,no_card,,0,secondary
50,aMw97l5PAl6n,no_card,,0,secondary
51,aV55D8XLQv0V,no_card,,0,secondary
52,axGROebOpma3,no_card,postpaid,0,secondary
53,bnzyN75yYBop,no_card,,0,secondary
54,dGRv1MkEX9VG,no_card,,0,secondary
55,dbNOkn6ZrJX8,no_card,,0,secondary
56,dq6K9jLY696b,no_card,,0,secondary
57,e6WBGjr5g10n,no_card,postpaid,0,secondary
58,eLmda8bG8GAX,no_card,,0,secondary
59,eOqWDJ0QYdw8,no_card,,0,secondary
60,en30BgQQy14j,no_card,,0,secondary
61,g3KzY98ZlkkP,no_card,,0,secondary
62,gGkwZYJgMNlG,no_card,postpaid,0,secondary
63,gqM4zg4xb3z7,no_card,,0,secondary
64,jEBYVb7xY7eD,no_card,,1,secondary
65,k8mL6zkyWOPl,no_card,,0,secondary
66,kGvRxMMqkXJG,no_card,,0,secondary
67,kR5ZyZNnovKq,no_card,,0,secondary
68,kRll5loaxx6R,no_card,,0,secondary
69,kXzQL5o1D8d4,no_card,,0,secondary
70,kevWN4ypq7Ew,no_card,postpaid,0,secondary
71,kmjlDOJRVMXr,no_card,,0,secondary
72,kzlAyDDVl4bP,no_card,postpaid,0,secondary
73,l8nYW3wW0oqp,no_card,postpaid,0,secondary
74,lw20K9y4qK1J,no_card,,10,secondary
75,lz48d3vYQ76z,no_card,,0,secondary
76,m2BVLygkZJm2,no_card,,0,secondary
77,mEB8JvZdw0AQ,no_card,postpaid,0,secondary
78,mNV93gpwlalr,no_card,postpaid,0,secondary
79,mjMlJ49On0W8,no_card,postpaid,0,secondary
80,n3R8Q2kkaWWe,no_card,,9,secondary
81,nBOoZxpAYJQB,no_card,postpaid,0,secondary
82,nDJ8L5bKYdxa,no_card,,1,secondary
83,nWmOoE1gVjV5,no_card,all,1,secondary
84,o50QwRM23OGE,no_card,postpaid,0,secondary
85,pBRDYJoJO6jz,no_card,,0,secondary
86,pbB5aor0x6p8,open_deal,,0,secondary
87,q8yMz3lxJAW8,no_card,,0,secondary
88,qGWe45dqD9pb,no_card,postpaid,1,secondary
89,qK3Re3xMjMnr,no_card,,5,secondary
90,rEZxlKkz8KVO,no_card,postpaid,0,secondary
91,v5VPrEmKdWPk,no_card,,0,secondary
92,vaJzqRPe4nBa,no_card,all,3,secondary
93,vlJkdBo3Mkd9,no_card,,0,secondary
94,w4pP3Brqkra4,no_card,postpaid,0,secondary
95,woRgMaMe67lX,no_card,,0,secondary
96,xNoRjvQ9mkZY,no_card,postpaid,0,secondary
97,xyl4bmxv3M5y,no_card,postpaid,0,secondary
98,yRXjYGr7VVgQ,no_card,,0,secondary
99,yVDDNYEPnlkV,no_card,,0,secondary
100,yW01y53bz8gY,no_card,,0,secondary
