position,item_id,card_type,package_type,redeem_point,category
1,wbEz152MVO1L,no_card,,0,primary
2,VmGAJnqGO58b,no_card,,0,primary
3,OrLLwGGqn4Pr,no_card,,0,primary
4,EXOo799W7R8X,no_card,,0,primary
5,lepdOlnlMb5e,no_card,,0,primary
6,jr8oPM5YqVnw,no_card,,0,primary
7,WJaPVy7XnkbR,no_card,,0,primary
8,KaXGx4JrdJJN,no_card,,0,primary
9,5akYKVZnBjv6,no_card,,0,primary
10,dbNOkn6ZrJX8,no_card,,0,primary
11,ymNKZQ5RwjDO,no_card,,0,primary
12,Wrp9lQOb5PoD,no_card,,0,primary
13,BnRQvOA4qb35,no_card,,0,primary
14,65oWoqoajlB5,no_card,,0,primary
15,5WGDmaKNwJmV,no_card,,0,primary
16,nEPR0OZj8RNL,no_card,,1,primary
17,JjLq4gDRGzZy,no_card,,0,primary
18,xz2Qg039DPqW,no_card,,0,primary
19,o9QZY2Veozr7,no_card,,0,primary
20,8gqG3o759LPK,no_card,,0,primary
21,y3AgPDwdPzGL,no_card,,0,primary
22,dGRv1MkEX9VG,no_card,,0,primary
23,RPZNXAkW54lP,no_card,,0,primary
24,AqbB4Bdmz4Dq,no_card,,0,primary
25,5gYJrerZXwZo,no_card,,0,primary
26,qxqqXgVgX4zx,no_card,,0,primary
27,wDPr4EGrJrpQ,no_card,,0,primary
28,boERbYayKZKl,no_card,,0,primary
29,qK3Re3xMjMnr,no_card,,5,primary
30,ZLVx2AnbJ7jG,no_card,,0,primary
31,j4awWZkbj0W8,no_card,,0,primary
32,mK5bgz10lO9E,no_card,,0,primary
33,7KRRokPjdnLK,no_card,,5,primary
34,A951PZmWVeG9,no_card,,0,primary
35,1qa3EanYlERk,no_card,,0,primary
36,QW3r2oyoP3lg,no_card,,0,primary
37,4x4M27ALjvl8,no_card,,0,primary
38,9Wd7M7R4AJ8P,no_card,,0,primary
39,aV55D8XLQv0V,no_card,,0,primary
40,djOXdYZXQ7gp,no_card,,0,primary
41,rnaZm4EyPopq,no_card,,0,primary
42,wJbDElggBWM5,no_card,,0,primary
43,KWdXGX7VzLjW,no_card,,0,primary
44,k9aNbaGAPbjB,no_card,,0,primary
45,8grK6d0j02yG,no_card,,0,primary
46,3WX7GQ2EG9Pa,no_card,,0,primary
47,eOqWDJ0QYdw8,no_card,,0,primary
48,1PZ1DxAJvdyl,no_card,,0,primary
49,82OBN41EE36V,no_card,,0,primary
50,X3jvJjPWbze3,no_card,,0,primary
51,PONxXlraj9YJ,no_card,,0,primary
52,BkyprYxANP4O,no_card,,0,primary
53,AVlqrbqBbkMv,no_card,,0,primary
54,2BjnEDqZ63vB,no_card,,0,primary
55,nRXolpAlwx6K,no_card,,0,primary
56,nQZXym4OO8DK,no_card,,0,primary
57,kABxERnWklaP,no_card,,0,primary
58,YdnqYVa7pmqE,no_card,,0,primary
59,EKwBnEemVVmj,no_card,,0,primary
60,aMw97l5PAl6n,no_card,,0,primary
61,2kXrN7dZOdG1,no_card,,0,primary
62,pqBp2LVKVyno,no_card,,0,primary
63,VaW812MX4246,no_card,,5,primary
64,dgppzyKLLpmg,no_card,,0,primary
65,QXjB2e1kPozX,no_card,,0,primary
66,ymEdbLKoawBA,no_card,,0,primary
67,P7LzE6JZmnJ4,no_card,,0,primary
68,N6gxEK7EagqQ,no_card,,0,primary
69,eN4gJ7j2LRKY,no_card,,0,primary
70,6eXBJ2DxWvJ5,no_card,,0,primary
71,WDj6MkO8p1aD,no_card,,0,primary
72,xE8Y09j6W3y7,no_card,,0,primary
73,o2KVdWPyl0xn,no_card,,0,primary
74,kXzQL5o1D8d4,no_card,,0,primary
75,7zPJr0JXy7Qj,no_card,,0,primary
76,BaPn6kjz14zl,no_card,,0,primary
77,zl66m17bd5bl,no_card,,0,primary
78,MAp9x9vXKbO8,no_card,,0,primary
79,2g2a5QzQ7GDL,no_card,,0,primary
80,zNjbrq5OkwbN,no_card,,0,primary
81,MXx3Mymv7m0q,no_card,,0,primary
82,MxgP4ady7rn0,no_card,,0,primary
83,xEBNYzNNDBWE,no_card,,0,primary
84,y9nbxj3LbQa9,no_card,,1,primary
85,zx4jopMYlOE5,no_card,,5,primary
86,nyGW3gLEYN5y,no_card,,0,primary
87,GZVDe3VdrjKQ,no_card,,9,primary
88,aA8LalNvLJXA,no_card,,5,primary
89,d9Kqw01Vd3Zv,no_card,,0,primary
90,VEbVM3Wwa2LE,no_card,,0,primary
91,GkRWwdLPldEr,no_card,,0,primary
92,nMG7PKL1K1KM,no_card,,0,primary
93,wOkxDbE1Znlr,no_card,,1,primary
94,bm4EZKp8GOZv,no_card,,0,primary
95,nRxdOZxlebmR,no_card,,0,primary
96,2PmeO41wyjnP,no_card,,0,primary
97,Ba6DW0m9mK41,no_card,,0,primary
98,OLyq9qwNOPGL,no_card,,0,primary
99,Kke6q634Gmep,no_card,,0,primary
100,y7pZyEx03Dx9,no_card,,0,primary
