index,item_id,expected_content_type,actual_content_type,status,metadata_lookup,metadata_http_status
1,8VbMGAaJwAme,coupon,,MISSING,query,200
2,ekRLYve2YWDQ,coupon,,MISSING,query,200
3,zJqYrqBMrnNJ,coupon,,MISSING,query,200
4,LrkADzEGw6vN,coupon,,MISSING,query,200
5,oje1VLGLQnOj,coupon,,MISSING,query,200
6,ZWPGwb6qA8GQ,coupon,,MISSING,query,200
7,xZeGaWMWx0X6,coupon,,MISSING,query,200
8,4ymk4wEjj8D2,coupon,,MISSING,query,200
9,qL1Ob1RYGe4J,coupon,,MISSING,query,200
10,V60AwWOOV8GE,coupon,,MISSING,query,200
11,z1dxkPLEKzv1,coupon,,MISSING,query,200
12,MW1PLY0EZeGp,coupon,,MISSING,query,200
13,0E8ew9Dbpn3R,coupon,,MISSING,query,200
14,VXedenNNBg34,coupon,,MISSING,query,200
15,8K6g3QOLY6l1,coupon,,MISSING,query,200
16,o4NQD9YWNjv1,coupon,,MISSING,query,200
17,qrwXqmym0n8W,coupon,,MISSING,query,200
18,rLVABM3rqom4,coupon,,MISSING,query,200
19,Nrp2yxQllbPM,coupon,,MISSING,query,200
20,z9z38jl0jX0e,coupon,,MISSING,query,200
