index,item_id,expected_content_type,actual_content_type,status,metadata_lookup,metadata_http_status
1,5Pb4JLp5jKL7,ecommerce,ecommerce,PASS,query,200
2,E4QbAVKXDe51,ecommerce,ecommerce,PASS,query,200
3,avW4OKnJZp4V,ecommerce,ecommerce,PASS,query,200
4,bad3pmb3y4Yz,ecommerce,ecommerce,PASS,query,200
5,5DoWYzLj9XGD,ecommerce,ecommerce,PASS,query,200
6,o6ZLgk1vDv5n,ecommerce,ecommerce,PASS,query,200
7,VXk7Kj28995X,ecommerce,ecommerce,PASS,query,200
8,2a63JdA1LGbg,ecommerce,ecommerce,PASS,query,200
9,eX53ZAKypezx,ecommerce,ecommerce,PASS,query,200
10,jz8ek4G6o82K,ecommerce,ecommerce,PASS,query,200
11,rOay9qa705BO,ecommerce,ecommerce,PASS,query,200
12,EJ1kqNEy9x2K,ecommerce,ecommerce,PASS,query,200
13,xGaLrY5bJpOe,ecommerce,ecommerce,PASS,query,200
14,BRj7LgbyKePJ,ecommerce,ecommerce,PASS,query,200
15,Y0n72OEmdO23,ecommerce,ecommerce,PASS,query,200
16,y5rekKO0ePQl,ecommerce,ecommerce,PASS,query,200
17,q8gnwJampD1P,ecommerce,ecommerce,PASS,query,200
18,1GdlkRN4jV6G,ecommerce,ecommerce,PASS,query,200
19,OLDnylYp63b1,ecommerce,ecommerce,PASS,query,200
20,Jybz5Pq6zV6y,ecommerce,ecommerce,PASS,query,200
21,Z8Qg5PPGZVwK,ecommerce,ecommerce,PASS,query,200
22,YmWDYJEn7gG8,ecommerce,ecommerce,PASS,query,200
23,RXwbm17j6A7g,ecommerce,ecommerce,PASS,query,200
24,Jra1gRZk60ar,ecommerce,ecommerce,PASS,query,200
25,0jWwNBB4Yyqj,ecommerce,ecommerce,PASS,query,200
26,r0Z1nMM9RQRX,ecommerce,ecommerce,PASS,query,200
27,kJ2w7XXxKvPO,ecommerce,ecommerce,PASS,query,200
28,olkoZKpVGn4l,ecommerce,ecommerce,PASS,query,200
29,QP8VKaLpO471,ecommerce,ecommerce,PASS,query,200
30,aGDkX1qYL6v8,ecommerce,ecommerce,PASS,query,200
31,nZObp1zeOeED,ecommerce,ecommerce,PASS,query,200
32,NDgqAe824aMW,ecommerce,ecommerce,PASS,query,200
