index,item_id,expected_content_type,actual_content_type,status,metadata_lookup,metadata_http_status
1,GDna51EdVk4,livetv,,MISSING,query,200
2,wQZrKd3mo65,livetv,,MISSING,query,200
3,3JYow6Dx7zx0,livetv,,MISSING,query,200
4,5XaDjQd1JJgw,livetv,,MISSING,query,200
5,MG60o1KjmzNP,livetv,,MISSING,query,200
6,eyEPa8A2WaJN,livetv,,MISSING,query,200
7,7OBlr4RJZDR5,livetv,,MISSING,query,200
8,2Yyb9xXEgeOJ,livetv,,MISSING,query,200
9,OzKE5d4pdNwy,livetv,,MISSING,query,200
10,qkrdgooa4no8,livetv,,MISSING,query,200
11,eZbmYRvMvylj,livetv,,MISSING,query,200
12,r9ombkk8M7n4,livetv,,MISSING,query,200
13,3xyaeKOdaZEx,livetv,,MISSING,query,200
14,k3B64mk9ELl3,livetv,,MISSING,query,200
15,zmvD0RO72nL,livetv,,MISSING,query,200
16,Q7vaEm8O9e4,livetv,,MISSING,query,200
17,4QGmlkkeqBd1,livetv,,MISSING,query,200
18,xDYqbGEY4lK,livetv,,MISSING,query,200
19,GDwwA11rPBgD,livetv,,MISSING,query,200
20,zyab4aWZ0OWx,livetv,,MISSING,query,200
21,EnWNeavOdeVq,livetv,,MISSING,query,200
22,YmaygkwgE6Lm,livetv,,MISSING,query,200
23,v2M0K4kgbrN,livetv,,MISSING,query,200
24,3wLvyKyryPAD,livetv,,MISSING,query,200
25,OZeq8ZLPldY,livetv,,MISSING,query,200
26,pQNm6nA20a6e,livetv,,MISSING,query,200
27,g9ONWXWJV5pq,livetv,,MISSING,query,200
28,E9k68z9aKDp,livetv,,MISSING,query,200
29,wkOEnAR062w,livetv,,MISSING,query,200
30,YZzDXGM1Yd68,livetv,,MISSING,query,200
31,18bXErKy2Am,livetv,,MISSING,query,200
32,DpZV0741AWz,livetv,,MISSING,query,200
33,NPDG7knzdgN,livetv,,MISSING,query,200
34,NWY5K7ZELP2,livetv,,MISSING,query,200
35,eXlvvZ4EA5aY,livetv,,MISSING,query,200
36,rVWJGN1VLOB,livetv,,MISSING,query,200
37,KEN52vz3o6M,livetv,,MISSING,query,200
38,xkZ7M890k1z,livetv,,MISSING,query,200
39,n8OW8d0x0qA,livetv,,MISSING,query,200
40,bN8M16MRd20,livetv,,MISSING,query,200
41,QYvlo1DEA0Zb,livetv,,MISSING,query,200
42,D9a3Kl4ZWZBb,livetv,,MISSING,query,200
43,PdOXKN4O1vDr,livetv,,MISSING,query,200
44,jqepWV3ka8j,livetv,,MISSING,query,200
45,yvjQWlnQqkzL,livetv,,MISSING,query,200
46,pmXrb1NjLeP0,livetv,,MISSING,query,200
47,r71LNbqjaKe,livetv,,MISSING,query,200
48,KlW9OymBRqrD,livetv,,MISSING,query,200
49,5KYLwQAL6aXe,livetv,,MISSING,query,200
50,Vwz1j7XVRkdn,livetv,,MISSING,query,200
51,M34YDGLk2wVj,livetv,,MISSING,query,200
52,pK4nxR53lEbJ,livetv,,MISSING,query,200
53,2KyzkV6AyPZ,livetv,,MISSING,query,200
54,JkpG4LeljXJ0,livetv,,MISSING,query,200
55,1ZrGkEk3qP7L,livetv,,MISSING,query,200
56,lQm56Ow0wjl,livetv,,MISSING,query,200
57,RN8ALdyRovrj,livetv,,MISSING,query,200
58,wkrQgY603zM,livetv,,MISSING,query,200
59,J2LMzNN8k4K,livetv,,MISSING,query,200
60,q9zDawRRd44L,livetv,,MISSING,query,200
61,OX4KG1R3W8O,livetv,,MISSING,query,200
62,NopZ5gjkGmE,livetv,,MISSING,query,200
63,Yb4p39lbgvN,livetv,,MISSING,query,200
64,L3Jbvn0BnbA,livetv,,MISSING,query,200
65,5YQaWExRqD5,livetv,,MISSING,query,200
66,GdgqaeMewGp4,livetv,,MISSING,query,200
67,Kz5zjkGyDVA,livetv,,MISSING,query,200
68,NOed9VVgV2K,livetv,,MISSING,query,200
69,G91q58rrakG,livetv,,MISSING,query,200
70,nYvz5QLWjyD,livetv,,MISSING,query,200
71,bDKPPGOdyAmn,livetv,,MISSING,query,200
72,vmDMJ9qmJxg,livetv,,MISSING,query,200
73,MDDoq1pvaVM,livetv,,MISSING,query,200
74,NB2d2A9Zd94z,livetv,,MISSING,query,200
75,jbzlQpWG6nj,livetv,,MISSING,query,200
76,EGvbeMNZOwq,livetv,,MISSING,query,200
77,B9alY9gp0vB,livetv,,MISSING,query,200
78,eM73Dj2x6pk,livetv,,MISSING,query,200
79,dyZWzDo7b0q,livetv,,MISSING,query,200
80,xR0n6ePG7wL,livetv,,MISSING,query,200
81,pQ6ok8M72AD,livetv,,MISSING,query,200
82,R4WyxL6Mp8b,livetv,,MISSING,query,200
83,glmE5eNRz47l,livetv,,MISSING,query,200
84,P83vkq1M1Lp,livetv,,MISSING,query,200
85,xVW7oVd8Gen,livetv,,MISSING,query,200
86,GPVMYwpnzKv,livetv,,MISSING,query,200
87,JeQ5L9PpVBJ,livetv,,MISSING,query,200
88,GOPVJMln56Y,livetv,,MISSING,query,200
89,9O54lyP5Rqx,livetv,,MISSING,query,200
90,2L1ZZdJGxPej,livetv,,MISSING,query,200
91,GNd67OBJ6pv,livetv,,MISSING,query,200
92,6Qna2oVjq3P,livetv,,MISSING,query,200
93,JGAQ7VZpX9Y,livetv,,MISSING,query,200
94,Kwj7W2nmmjoO,livetv,,MISSING,query,200
