index,item_id,expected_content_type,actual_content_type,status,metadata_lookup,metadata_http_status
1,GDna51EdVk4,livetv,,MISSING,query,200
2,GDwwA11rPBgD,livetv,,MISSING,query,200
3,r9ombkk8M7n4,livetv,,MISSING,query,200
4,qkrdgooa4no8,livetv,,MISSING,query,200
5,4QGmlkkeqBd1,livetv,,MISSING,query,200
6,eyEPa8A2WaJN,livetv,,MISSING,query,200
7,EnWNeavOdeVq,livetv,,MISSING,query,200
8,GPVMYwpnzKv,livetv,,MISSING,query,200
9,Q7vaEm8O9e4,livetv,,MISSING,query,200
10,bDKPPGOdyAmn,livetv,,MISSING,query,200
11,zmvD0RO72nL,livetv,,MISSING,query,200
12,3JYow6Dx7zx0,livetv,,MISSING,query,200
13,2L1ZZdJGxPej,livetv,,MISSING,query,200
14,pQNm6nA20a6e,livetv,,MISSING,query,200
15,KEN52vz3o6M,livetv,,MISSING,query,200
16,MG60o1KjmzNP,livetv,,MISSING,query,200
17,wQZrKd3mo65,livetv,,MISSING,query,200
18,zyab4aWZ0OWx,livetv,,MISSING,query,200
19,7OBlr4RJZDR5,livetv,,MISSING,query,200
20,xDYqbGEY4lK,livetv,,MISSING,query,200
21,QYvlo1DEA0Zb,livetv,,MISSING,query,200
22,OzKE5d4pdNwy,livetv,,MISSING,query,200
23,3xyaeKOdaZEx,livetv,,MISSING,query,200
24,eZbmYRvMvylj,livetv,,MISSING,query,200
25,xR0n6ePG7wL,livetv,,MISSING,query,200
26,5XaDjQd1JJgw,livetv,,MISSING,query,200
27,k3B64mk9ELl3,livetv,,MISSING,query,200
28,n8OW8d0x0qA,livetv,,MISSING,query,200
29,2Yyb9xXEgeOJ,livetv,,MISSING,query,200
30,yvjQWlnQqkzL,livetv,,MISSING,query,200
31,3wLvyKyryPAD,livetv,,MISSING,query,200
32,rVWJGN1VLOB,livetv,,MISSING,query,200
33,5KYLwQAL6aXe,livetv,,MISSING,query,200
34,JkpG4LeljXJ0,livetv,,MISSING,query,200
35,v2M0K4kgbrN,livetv,,MISSING,query,200
36,DpZV0741AWz,livetv,,MISSING,query,200
37,D9a3Kl4ZWZBb,livetv,,MISSING,query,200
38,Vwz1j7XVRkdn,livetv,,MISSING,query,200
39,M34YDGLk2wVj,livetv,,MISSING,query,200
40,pK4nxR53lEbJ,livetv,,MISSING,query,200
41,E9k68z9aKDp,livetv,,MISSING,query,200
42,NyV7XQ0rARxm,livetv,,MISSING,query,200
43,RVrAxAOGx21v,livetv,,MISSING,query,200
44,PAkOrawvY9GA,livetv,,MISSING,query,200
45,OZeq8ZLPldY,livetv,,MISSING,query,200
46,NOed9VVgV2K,livetv,,MISSING,query,200
47,NWY5K7ZELP2,livetv,,MISSING,query,200
48,wkOEnAR062w,livetv,,MISSING,query,200
49,g9ONWXWJV5pq,livetv,,MISSING,query,200
50,q9zDawRRd44L,livetv,,MISSING,query,200
51,18bXErKy2Am,livetv,,MISSING,query,200
52,vmDMJ9qmJxg,livetv,,MISSING,query,200
53,Ay93Q8zlOeA,livetv,,MISSING,query,200
54,bN8M16MRd20,livetv,,MISSING,query,200
55,xkZ7M890k1z,livetv,,MISSING,query,200
56,k2dkmqXJMpRY,livetv,,MISSING,query,200
57,NPDG7knzdgN,livetv,,MISSING,query,200
58,jqepWV3ka8j,livetv,,MISSING,query,200
59,gqVn9n7MeYXq,livetv,,MISSING,query,200
60,YZzDXGM1Yd68,livetv,,MISSING,query,200
61,YmaygkwgE6Lm,livetv,,MISSING,query,200
62,PdOXKN4O1vDr,livetv,,MISSING,query,200
63,3AqanG58Er3,livetv,,MISSING,query,200
64,eXlvvZ4EA5aY,livetv,,MISSING,query,200
65,P83vkq1M1Lp,livetv,,MISSING,query,200
66,pmXrb1NjLeP0,livetv,,MISSING,query,200
67,nbyAVeb1jpN,livetv,,MISSING,query,200
68,wkrQgY603zM,livetv,,MISSING,query,200
69,jM40gOoQL1JM,livetv,,MISSING,query,200
70,GdgqaeMewGp4,livetv,,MISSING,query,200
71,GNd67OBJ6pv,livetv,,MISSING,query,200
72,B9alY9gp0vB,livetv,,MISSING,query,200
73,1ZrGkEk3qP7L,livetv,,MISSING,query,200
74,OVKwZle4eop,livetv,,MISSING,query,200
75,GOPVJMln56Y,livetv,,MISSING,query,200
76,Kz5zjkGyDVA,livetv,,MISSING,query,200
77,mXQoNYKda2L9,livetv,,MISSING,query,200
78,vNG2L371k5W,livetv,,MISSING,query,200
79,nYvz5QLWjyD,livetv,,MISSING,query,200
80,9O54lyP5Rqx,livetv,,MISSING,query,200
81,zpwxwAgYOV7n,livetv,,MISSING,query,200
82,R4WyxL6Mp8b,livetv,,MISSING,query,200
