index,item_id,expected_content_type,actual_content_type,status,metadata_lookup,metadata_http_status
1,njvQLKvoYazr,sfvseries,sfvseries,PASS,query,200
2,bVWwl27bAQZV,sfvseries,sfvseries,PASS,query,200
3,Ay0XRxN9gZAy,sfvseries,sfvseries,PASS,query,200
4,Qw0VKpJygJBM,sfvseries,sfvseries,PASS,query,200
5,YDygz4gOBk5E,sfvseries,sfvseries,PASS,query,200
6,2Po09qL72V3A,sfvseries,sfvseries,PASS,query,200
7,l3MK4y4kNX1g,sfvseries,sfvseries,PASS,query,200
8,v40MOaVN6DEX,sfvseries,sfvseries,PASS,query,200
9,YEYyGNMQe02E,sfvseries,sfvseries,PASS,query,200
10,dVMNAdGN0bzP,sfvseries,sfvseries,PASS,query,200
11,pVdneQPmXMP7,sfvseries,sfvseries,PASS,query,200
12,bB1NQj8p1qP4,sfvseries,sfvseries,PASS,query,200
13,GwgxEDV7RvVj,sfvseries,sfvseries,PASS,query,200
14,mxdyq0jGyRPD,sfvseries,sfvseries,PASS,query,200
15,BWb2QpZqzq0W,sfvseries,sfvseries,PASS,query,200
16,95we94k6xnqN,sfvseries,sfvseries,PASS,query,200
17,9Y7vDdBpybg4,sfvseries,sfvseries,PASS,query,200
18,1zGA683Xokyn,sfvseries,sfvseries,PASS,query,200
19,b9OQJ5lVLlln,sfvseries,sfvseries,PASS,query,200
20,PwRbAB5DBkEw,sfvseries,sfvseries,PASS,query,200
21,7JOjdL067Yev,sfvseries,sfvseries,PASS,query,200
22,kAaqJLb3PZKA,sfvseries,sfvseries,PASS,query,200
23,GO1ypmzx89LO,sfvseries,sfvseries,PASS,query,200
24,VdA4G8mZDo6g,sfvseries,sfvseries,PASS,query,200
25,Vv4GDa45q8Oz,sfvseries,sfvseries,PASS,query,200
26,D026wPN5DYP0,sfvseries,sfvseries,PASS,query,200
27,dgKwxQXznkrg,sfvseries,sfvseries,PASS,query,200
