index,item_id,expected_content_type,actual_content_type,status,metadata_lookup,metadata_http_status
1,Ay0XRxN9gZAy,sfvseries,sfvseries,PASS,query,200
2,njvQLKvoYazr,sfvseries,sfvseries,PASS,query,200
3,KpvbVM9x89gp,sfvseries,sfvseries,PASS,query,200
4,R7xjmJEAWdaV,sfvseries,sfvseries,PASS,query,200
5,Qw0VKpJygJBM,sfvseries,sfvseries,PASS,query,200
6,Ma3jgz8mGGkW,sfvseries,sfvseries,PASS,query,200
7,dapDlbyeLV9a,sfvseries,sfvseries,PASS,query,200
8,dVMNAdGN0bzP,sfvseries,sfvseries,PASS,query,200
9,pZX7aW6dVdKR,sfvseries,sfvseries,PASS,query,200
10,2Po09qL72V3A,sfvseries,sfvseries,PASS,query,200
11,bVWwl27bAQZV,sfvseries,sfvseries,PASS,query,200
12,EwBDAMj2zv1G,sfvseries,sfvseries,PASS,query,200
13,7JOjdL067Yev,sfvseries,sfvseries,PASS,query,200
14,YDygz4gOBk5E,sfvseries,sfvseries,PASS,query,200
15,NMWpNB3EXjJ6,sfvseries,sfvseries,PASS,query,200
16,71W96aDdnOAM,sfvseries,sfvseries,PASS,query,200
17,JPgmJ9zAYLWZ,sfvseries,sfvseries,PASS,query,200
18,4WkVvn76dbZQ,sfvseries,sfvseries,PASS,query,200
19,nXnynoYv3LBJ,sfvseries,sfvseries,PASS,query,200
20,VA3lK624bk29,sfvseries,sfvseries,PASS,query,200
21,oQ0N7x4Wzo7a,sfvseries,sfvseries,PASS,query,200
22,a1M3m8DYMO42,sfvseries,sfvseries,PASS,query,200
23,YaMgEJWJ1Wkz,sfvseries,sfvseries,PASS,query,200
