index,item_id,expected_content_type,actual_content_type,status,metadata_lookup,metadata_http_status
1,a8Q8O97XxdG,sportclip,,MISSING,query,200
2,e4EoZ1Nxj4W,sportclip,,MISSING,query,200
3,yk2QaZ3vEnr,sportclip,,MISSING,query,200
4,zeBx63W682l,sportclip,,MISSING,query,200
5,OxqlJkP0paY,sportclip,,MISSING,query,200
6,WDeDveOARXa,sportclip,,MISSING,query,200
7,Yp52v57Omzb,sportclip,,MISSING,query,200
8,NeGVDG3RWrM,sportclip,,MISSING,query,200
9,4BmAQrNEdxR,sportclip,,MISSING,query,200
10,7RjYpaJYgQ7,sportclip,,MISSING,query,200
11,8QAGyEym2A8,sportclip,,MISSING,query,200
12,8lrNYJ2GAbm,sportclip,,MISSING,query,200
13,DR46Q98wVg1,sportclip,,MISSING,query,200
14,Ea2wY2kAbBW,sportclip,,MISSING,query,200
15,48moLmog9YK,sportclip,,MISSING,query,200
16,zgpoDpWMPRv,sportclip,,MISSING,query,200
17,X1WPmWrJ9ey,sportclip,,MISSING,query,200
18,PgO0YxYeWDP,sportclip,,MISSING,query,200
19,QXmenrz8En7,sportclip,,MISSING,query,200
20,W4qQmObwOzx,sportclip,,MISSING,query,200
21,XnoNkxMM2RJ,sportclip,,MISSING,query,200
22,Xrg1JglOWe0,sportclip,,MISSING,query,200
23,ZYKJvVO5po0,sportclip,,MISSING,query,200
24,a0KQgJBzlwe,sportclip,,MISSING,query,200
25,bjX928QgryB,sportclip,,MISSING,query,200
26,dgQn0892zWE,sportclip,,MISSING,query,200
27,dzRGxK7zOKd,sportclip,,MISSING,query,200
28,jW47QaYw1EJ,sportclip,,MISSING,query,200
29,lOkQjAdm37l,sportclip,,MISSING,query,200
30,o5lea8PRzO4,sportclip,,MISSING,query,200
31,zM27o29xbPN,sportclip,,MISSING,query,200
32,32xLzB1NGx0,sportclip,,MISSING,query,200
33,41pyD1arYBj,sportclip,,MISSING,query,200
34,4bzvG2OwZP4,sportclip,,MISSING,query,200
35,60D7zPPOVg6,sportclip,,MISSING,query,200
36,84Za2pVmyqM,sportclip,,MISSING,query,200
37,BbpeoXygy1q,sportclip,,MISSING,query,200
38,JQWznGQw6A9,sportclip,,MISSING,query,200
39,JeRe79Qdk8Y,sportclip,,MISSING,query,200
40,K5QVmE313JK,sportclip,,MISSING,query,200
41,KXo7YGzO1Vp,sportclip,,MISSING,query,200
42,90v4Mv4eWXp,sportclip,,MISSING,query,200
43,B9Z5YZzxNZ4,sportclip,,MISSING,query,200
44,4xMRqMpy6rz,sportclip,,MISSING,query,200
45,PyEJ1WMV9QP,sportclip,,MISSING,query,200
46,Qy38vVvL69W,sportclip,,MISSING,query,200
47,eOpYdvwQB0A,sportclip,,MISSING,query,200
48,k0x2lApENOk,sportclip,,MISSING,query,200
49,lyN1EpDvP09,sportclip,,MISSING,query,200
50,p3RBWGleVEa,sportclip,,MISSING,query,200
51,r69malbOQ8j,sportclip,,MISSING,query,200
52,vob03X7Dlng,sportclip,,MISSING,query,200
53,MnDERygllPX,sportclip,,MISSING,query,200
54,PZXk7a2v1J6,sportclip,,MISSING,query,200
55,Xz5BOrj0AJP,sportclip,,MISSING,query,200
56,QYV7Enl4Aao,sportclip,,MISSING,query,200
57,RE8xnQKPdL6,sportclip,,MISSING,query,200
58,XEVWlGNP94q,sportclip,,MISSING,query,200
59,ZgdpOlAY3rV,sportclip,,MISSING,query,200
60,Zl0RqkgXqGZ,sportclip,,MISSING,query,200
61,jJQlPQkM8Qw,sportclip,,MISSING,query,200
62,k3KnbwAnDmk,sportclip,,MISSING,query,200
63,lngNby18eQD,sportclip,,MISSING,query,200
64,nDOYeZe0vk2,sportclip,,MISSING,query,200
65,pmogGzPPwkK,sportclip,,MISSING,query,200
66,wK3pG0W36Qw,sportclip,,MISSING,query,200
67,x637OBbr3Lg,sportclip,,MISSING,query,200
68,NMR64RBX0qp,sportclip,,MISSING,query,200
69,XxpvQ00gLwX,sportclip,,MISSING,query,200
70,vVbMKGyPwOv,sportclip,,MISSING,query,200
71,9mVZgVKa7mw,sportclip,,MISSING,query,200
72,Vv69j693OLV,sportclip,,MISSING,query,200
73,nj2JX2Wo1En,sportclip,,MISSING,query,200
74,3XQbXZmb6OK,sportclip,,MISSING,query,200
75,5WDkNJ3AbjG,sportclip,,MISSING,query,200
76,Bzpgav4V1Or,sportclip,,MISSING,query,200
77,EXg62NOp22x,sportclip,,MISSING,query,200
78,Jb0EmzNa3W9,sportclip,,MISSING,query,200
79,MD9Xqab7dp5,sportclip,,MISSING,query,200
80,D2K7rKzXEO6,sportclip,,MISSING,query,200
81,6KAKyAVaN3g,sportclip,,MISSING,query,200
82,Ly8kd8DyPY6,sportclip,,MISSING,query,200
83,2GrNgrDj0JP,sportclip,,MISSING,query,200
84,MrJn4bq6KGM,sportclip,,MISSING,query,200
85,NXqbGyQVXvY,sportclip,,MISSING,query,200
86,pzG0zG03dN1,sportclip,,MISSING,query,200
87,QA9ozBDz4kQ,sportclip,,MISSING,query,200
88,RrMX18EZvLl,sportclip,,MISSING,query,200
89,aZrbJzoxKOa,sportclip,,MISSING,query,200
90,gXEK6Rp6WpB,sportclip,,MISSING,query,200
91,nPOoMOeQX46,sportclip,,MISSING,query,200
92,omj9EZyvJpr,sportclip,,MISSING,query,200
93,owxdAb6lnE3,sportclip,,MISSING,query,200
94,pXvnw86MQBY,sportclip,,MISSING,query,200
95,pmxe3QLq6D8,sportclip,,MISSING,query,200
96,3g7y6GZA093,sportclip,,MISSING,query,200
97,4egDJplm8MV,sportclip,,MISSING,query,200
98,52WxgLdwDDo,sportclip,,MISSING,query,200
99,6lNvOxngNDG,sportclip,,MISSING,query,200
100,74Ae0Abml6j,sportclip,,MISSING,query,200
