index,item_id,expected_content_type,actual_content_type,status,metadata_lookup,metadata_http_status
1,48moLmog9YK,sportclip,,MISSING,query,200
2,NeGVDG3RWrM,sportclip,,MISSING,query,200
3,WDeDveOARXa,sportclip,,MISSING,query,200
4,Yp52v57Omzb,sportclip,,MISSING,query,200
5,4BmAQrNEdxR,sportclip,,MISSING,query,200
6,7RjYpaJYgQ7,sportclip,,MISSING,query,200
7,8QAGyEym2A8,sportclip,,MISSING,query,200
8,8lrNYJ2GAbm,sportclip,,MISSING,query,200
9,DR46Q98wVg1,sportclip,,MISSING,query,200
10,Ea2wY2kAbBW,sportclip,,MISSING,query,200
11,OxqlJkP0paY,sportclip,,MISSING,query,200
12,a8Q8O97XxdG,sportclip,,MISSING,query,200
13,e4EoZ1Nxj4W,sportclip,,MISSING,query,200
14,yk2QaZ3vEnr,sportclip,,MISSING,query,200
15,zeBx63W682l,sportclip,,MISSING,query,200
16,2GrNgrDj0JP,sportclip,,MISSING,query,200
17,pzG0zG03dN1,sportclip,,MISSING,query,200
18,QA9ozBDz4kQ,sportclip,,MISSING,query,200
19,6KAKyAVaN3g,sportclip,,MISSING,query,200
20,Ly8kd8DyPY6,sportclip,,MISSING,query,200
21,Vv69j693OLV,sportclip,,MISSING,query,200
22,Xz5BOrj0AJP,sportclip,,MISSING,query,200
23,35qjnZaz0e3,sportclip,,MISSING,query,200
24,6lNvOxngNDG,sportclip,,MISSING,query,200
25,DxK0z41XKjW,sportclip,,MISSING,query,200
26,Kl72w6xb5En,sportclip,,MISSING,query,200
27,NXqbGyQVXvY,sportclip,,MISSING,query,200
28,XEVWlGNP94q,sportclip,,MISSING,query,200
29,k3KnbwAnDmk,sportclip,,MISSING,query,200
30,nj2JX2Wo1En,sportclip,,MISSING,query,200
31,4xMRqMpy6rz,sportclip,,MISSING,query,200
32,90v4Mv4eWXp,sportclip,,MISSING,query,200
33,B9Z5YZzxNZ4,sportclip,,MISSING,query,200
34,6mzm7z2wJP0,sportclip,,MISSING,query,200
35,3g7y6GZA093,sportclip,,MISSING,query,200
36,4egDJplm8MV,sportclip,,MISSING,query,200
37,52WxgLdwDDo,sportclip,,MISSING,query,200
38,74Ae0Abml6j,sportclip,,MISSING,query,200
39,7BdbzllajnK,sportclip,,MISSING,query,200
40,9vlJGxYoglK,sportclip,,MISSING,query,200
41,Bd8R5G9oAJB,sportclip,,MISSING,query,200
42,E0DojVNrVDE,sportclip,,MISSING,query,200
43,MrJn4bq6KGM,sportclip,,MISSING,query,200
44,RE8xnQKPdL6,sportclip,,MISSING,query,200
45,ZgdpOlAY3rV,sportclip,,MISSING,query,200
46,Zl0RqkgXqGZ,sportclip,,MISSING,query,200
47,jJQlPQkM8Qw,sportclip,,MISSING,query,200
48,lngNby18eQD,sportclip,,MISSING,query,200
49,nDOYeZe0vk2,sportclip,,MISSING,query,200
50,pmogGzPPwkK,sportclip,,MISSING,query,200
51,W7yRKOw2w7Q,sportclip,,MISSING,query,200
52,BbpeoXygy1q,sportclip,,MISSING,query,200
53,4ePOyxr8gvp,sportclip,,MISSING,query,200
54,4wqBQOlW29N,sportclip,,MISSING,query,200
55,5ly0dyaY12m,sportclip,,MISSING,query,200
56,7gn0dnaQJv5,sportclip,,MISSING,query,200
57,pD3GmkJL5Ox,sportclip,,MISSING,query,200
58,ypkl9kbzveL,sportclip,,MISSING,query,200
59,X1WPmWrJ9ey,sportclip,,MISSING,query,200
60,DGQdyQ3BVmN,sportclip,,MISSING,query,200
61,RngQpJAJaM5,sportclip,,MISSING,query,200
62,rA18n1GENnr,sportclip,,MISSING,query,200
63,ybMelY31kO9,sportclip,,MISSING,query,200
64,dgQn0892zWE,sportclip,,MISSING,query,200
65,1nY7p4k77x3,sportclip,,MISSING,query,200
66,QYV7Enl4Aao,sportclip,,MISSING,query,200
67,wK3pG0W36Qw,sportclip,,MISSING,query,200
68,x637OBbr3Lg,sportclip,,MISSING,query,200
69,jJJeLJV7Y1j,sportclip,,MISSING,query,200
70,Y70v6PxgREn,sportclip,,MISSING,query,200
71,qk9PdORYKbL,sportclip,,MISSING,query,200
72,vwYVdXM3A0E,sportclip,,MISSING,query,200
73,wkN3RYjEBn1,sportclip,,MISSING,query,200
74,Xrg1JglOWe0,sportclip,,MISSING,query,200
75,a0KQgJBzlwe,sportclip,,MISSING,query,200
76,jW47QaYw1EJ,sportclip,,MISSING,query,200
77,lOkQjAdm37l,sportclip,,MISSING,query,200
